Artists,Track,Type,FA status,Has label,Permission,Comment,Tournament,Mappool slot,Tournament link,Note,Beatmap,FA listing,SoundCloud,YouTube,Spotify,Bandcamp,Asset
`Natteke`; `tieff`:34,Natteke ft. tieff - The Dream,BEATMAP,FA_FEATURE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/16599#osu/59406,,,https://www.youtube.com/watch?v=vtVT3A-ALUQ,,,
`Dictate`:21,Dictate - IMITATE,BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/1201530,,https://soundcloud.com/dictate/imitate,,,,
`happy30`:317,happy30 - wob wob,BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/115621,,,,,,
`II-L`:172,osu! training man - TRAINING-1,BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/1727804,,,https://www.youtube.com/watch?v=jS2r8PuyymI,,,
`happy30`:317,Porter Robinson & Madeon - Shelter (happy30 Remix),BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/527621,,,,https://open.spotify.com/album/0hgYsO1FgdGq5now2QjVUn,,
`tieff`:34,tieff - Sound of Night,BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/15952,,,,,,
`VINXIS`:22,VINXIS - Joushou no Tabi ~ The Ascending Journey,BEATMAP,FA,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/1857663,,,https://www.youtube.com/watch?v=NAqdOfIVm2A,,,
`happy30`:317,happy30 - As the wind blows,BEATMAP,FA_CATALOGUE,1,CONFIRMED,,,,,,https://osu.ppy.sh/beatmapsets/355073,,,https://www.youtube.com/watch?v=XFZGRVIji9w,,,
`happy30`:317,happy30 - You spin my world,BEATMAP,FA_CATALOGUE,1,CONFIRMED,,,,,,https://osu.ppy.sh/beatmapsets/485205,,,,https://open.spotify.com/track/6B0mNLZUnFetKLANIngdHj,,
`Rabbit House`:242,Rabbit House - Muspelheim,BEATMAP,FA_CATALOGUE,1,CONFIRMED,,,,,,https://osu.ppy.sh/beatmapsets/815126,,https://soundcloud.com/dksslqj/muspelheim,,,,
`Natteke`; `tieff`:34,Natteke ft. tieff - Endless Tower,BEATMAP,FA_FEATURE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/17076,,,https://www.youtube.com/watch?v=TNAGrCBfQKc,,,
`Apollo`,Apollo - SCUNTHORPE,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/1677078,,,,,,
`Clemaister`,Clemaister - Celestial,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/19931,,https://soundcloud.com/clemaister/celestial,,,,
`Clemaister`,Clemaister - Chip Layer,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/28775,,https://soundcloud.com/clemaister/chip-layer,,,,
`Clemaister`,Clemaister - Classic Style,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/18920,,https://soundcloud.com/clemaister/classic-style,,,,
`Clemaister`,Clemaister - Getting up,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/20130,,https://soundcloud.com/clemaister/getting-up,,,,
`Clemaister`,Clemaister - New Story,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/19902,,,,,,
`Clemaister`; `Kamoflage`,Clemaister (ft. Kamoflage) - Rewind,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/18920,,https://soundcloud.com/clemaister/rewind,,,,
`cygnus`,cygnus - Psycho Gene,BEATMAP,NONE,0,ASSUMED,,,,,,https://osu.ppy.sh/beatmapsets/1884657,,,,,,
